book_name,book_cost,book_cost_url,book_rating,book_ReviewsNumber,book_ReviewsNumber_url
"Video Editing Made Easy with DaVinci Resolve 18: Create quick video content for your Business, the Web, or Social Media in DaVinci Resolve 18",845,https://www.amazon.in/Video-Editing-Made-DaVinci-Resolve-ebook/dp/B0BGSCL9ZV/ref=sr_1_73?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-73,,,
UiPath Administration and Support Guide: Learn industry-standard practices for UiPath program support and administration activities,657,https://www.amazon.in/UiPath-Administration-Support-Guide-industry-standard-ebook/dp/B0B49YFPDC/ref=sr_1_74?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-74,4.5 out of 5 stars,2,https://www.amazon.in/UiPath-Administration-Support-Guide-industry-standard/dp/1803239085/ref=sr_1_74?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-74#customerReviews
TypeScript 4 Design Patterns and Best Practices: Discover effective techniques and design patterns for every programming task,887,https://www.amazon.in/TypeScript-Design-Patterns-Best-Practices-ebook/dp/B097HTP6Z7/ref=sr_1_75?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-75,4.1 out of 5 stars,9,https://www.amazon.in/TypeScript-Design-Patterns-Best-Practices/dp/1800563426/ref=sr_1_75?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-75#customerReviews
"iOS Forensics for Investigators: Take mobile forensic to the next level by analyzing , extracting , and reporting sensitive evidence",449,https://www.amazon.in/iOS-Forensics-Investigators-analyzing-extracting-ebook/dp/B0BGQQVCJY/ref=sr_1_76?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-76,,,
Mobile Forensics Cookbook,788,https://www.amazon.in/Mobile-Forensics-Cookbook-acquisition-investigations-ebook/dp/B072BYC2JT/ref=sr_1_77?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-77,3.4 out of 5 stars,5,https://www.amazon.in/Mobile-Forensics-Cookbook-Igor-Mikhaylov/dp/1785282050/ref=sr_1_77?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-77#customerReviews
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",443,https://www.amazon.in/Python-Automation-Cookbook-automation-processing-ebook/dp/B088NBRT6Z/ref=sr_1_78?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-78,4.3 out of 5 stars,67,https://www.amazon.in/Python-Automation-Cookbook-automation-processing/dp/1800207085/ref=sr_1_78?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-78#customerReviews
LLVM Essentials,276,https://www.amazon.in/LLVM-Essentials-familiar-infrastructure-libraries-ebook/dp/B0166Y6Z34/ref=sr_1_79?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-79,3.0 out of 5 stars,17,https://www.amazon.in/LLVM-Essentials-Suyog-Sarda/dp/1785280805/ref=sr_1_79?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-79#customerReviews
Modern React Application Architecture In Action: Learn techniques and best practices to architect and develop React applications,750,https://www.amazon.in/Modern-React-Application-Architecture-Action-ebook/dp/B0BGPTT545/ref=sr_1_80?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805695&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-80,,,
Azure Data Engineering Cookbook -: Get well versed with different data engineering techniques with Azure data services using this recipe-based guide,938,https://www.amazon.in/Azure-Data-Engineering-Cookbook-recipe-based-ebook/dp/B0B59RRFYG/ref=sr_1_81?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-81,,,
Microsoft Azure IaaS Essentials,492,https://www.amazon.in/Microsoft-Azure-Essentials-Gethyn-Ellis-ebook/dp/B00YHBVICW/ref=sr_1_82?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-82,5.0 out of 5 stars,1,https://www.amazon.in/Microsoft-Azure-Essentials-Gethyn-Ellis/dp/178217463X/ref=sr_1_82?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-82#customerReviews
The C# Workshop: Kickstart your career as a software developer with C#,"2,943",https://www.amazon.in/Workshop-Kickstart-career-software-developer/dp/1800566492/ref=sr_1_83?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-83,,,
"CompTIA Security+: SY0-601 Certification Guide: Complete coverage of the new CompTIA Security+ (SY0-601) exam to help you pass on the first attempt, 2nd Edition",458,https://www.amazon.in/CompTIA-Security-Certification-Complete-coverage-ebook/dp/B08LVKZ7HY/ref=sr_1_84?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-84,4.6 out of 5 stars,"1,017",https://www.amazon.in/CompTIA-Security-Certification-Complete-coverage/dp/1800564244/ref=sr_1_84?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-84#customerReviews
"React and React Native - Fourth Edition: Build cross-platform JavaScript applications with native power for the web, desktop, and mobile",750,https://www.amazon.in/React-Native-cross-platform-JavaScript-applications-ebook/dp/B09SM17DHD/ref=sr_1_85?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-85,4.1 out of 5 stars,6,https://www.amazon.in/React-Native-cross-platform-JavaScript-applications/dp/1803231289/ref=sr_1_85?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-85#customerReviews
Artificial Intelligence with Power BI: Take your data analytics skills to the next level by leveraging the AI capabilities in Power BI,498,https://www.amazon.in/Artificial-Intelligence-Power-leveraging-capabilities-ebook/dp/B09TTCCZ5G/ref=sr_1_86?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-86,4.2 out of 5 stars,3,https://www.amazon.in/Artificial-Intelligence-Power-leveraging-capabilities/dp/1801814635/ref=sr_1_86?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-86#customerReviews
"Learning Angular: A no-nonsense guide to start building web applications with Angular, 4th Edition",845,https://www.amazon.in/Learning-Angular-no-nonsense-building-applications-ebook/dp/B0BGPTDYFR/ref=sr_1_87?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-87,,,
Secret Recipes of the Python Ninja: Over 70 recipes that uncover powerful programming tactics in Python,818,https://www.amazon.in/Secret-Recipes-Python-Ninja-programming-ebook/dp/B07BYBMGQT/ref=sr_1_88?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-88,5.0 out of 5 stars,1,https://www.amazon.in/Secret-Recipes-Python-Ninja-programming/dp/1788294874/ref=sr_1_88?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-88#customerReviews
"PACKT - Endeavor Collar - Waterproof, Stinkproof, American Made - Frost - M","7,860",https://www.amazon.in/PACKT-Endeavor-Waterproof-Stinkproof-American/dp/B085L6JMNT/ref=sr_1_89?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-89,4.8 out of 5 stars,548,https://www.amazon.in/PACKT-Endeavor-Waterproof-Stinkproof-American/dp/B085L6JMNT/ref=sr_1_89?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-89#customerReviews
"Pragmatic Test-Driven Development in C# .NET: Test, design, and deploy testable and maintainable .NET applications using test-driven development",750,https://www.amazon.in/Pragmatic-Test-Driven-Development-NET-high-quality-ebook/dp/B0B2DMYKQD/ref=sr_1_90?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-90,,,
"Mastering Malware Analysis: A malware analyst's practical guide to combating malicious software, APT, cybercrime, and IoT attacks, 2nd Edition","3,102",https://www.amazon.in/Mastering-Malware-Analysis-combatting-cybercrime/dp/1803240245/ref=sr_1_91?crid=1B35YIHAA7SRY&keywords=packt&qid=1664805705&qu=eyJxc2MiOiI0LjIyIiwicXNhIjoiMy4zNCIsInFzcCI6IjAuOTcifQ%3D%3D&sprefix=packt%2Caps%2C299&sr=8-91,,,
