book_name,book_Price,book_reviews,book_rating,book_date,book_discount,book_author
Responsive Web Design with HTML5 and CSS - Fourth Edition: Build future-proof responsive websites using the latest HTML5 and CSS techniques,"5,009",1,5.0 out of 5 stars,19-Sep-22,"10% Off on SBI Cards
10% Off on SBI Cards",by Ben Frain | 19 September 2022
Managing Data and Media in Silverlight 4: A mashup of chapters from Packt's bestselling Silverlight books,"2,464",,,24-Feb-12,(20% off),"by Gaston C. Hillar, Gill Cleeren, et al. | 24 February 2012"
Low-Code Application Development with Appian: A beginner's guide to high-speed business innovation at enterprise scale using Appian,"2,464",4,4.3 out of 5 stars,09-Jun-22,(20% off),by Stefan Helzle | 9 June 2022
The The Java Workshop: Learn object-oriented programming and kickstart your career in software development,"2,464",11,3.5 out of 5 stars,31-Oct-19,(20% off),"by David Cuartielles, Andreas Göransson , et al. | 31 October 2019"
"Azure for Developers -: Implementing rich Azure PaaS ecosystems using containers, serverless services and storage solutions","2,941",,,16-Sep-22,(20% off),by Kamil Mrzyglod | 16 September 2022
"Modern C++ Programming Cookbook: Master C++ core language and standard library features, with over 100 recipes, updated to C++20, 2nd Edition","3,100",76,4.3 out of 5 stars,11-Sep-20,(20% off),by Marius Bancila | 11 September 2020
Mobile Forensics Cookbook,"2,464",5,3.4 out of 5 stars,15-Dec-17,(20% off),by Igor Mikhaylov | 15 December 2017
"Microsoft Security, Compliance, and Identity Fundamentals Exam Ref SC-900: Learn all about security, identity, and compliance in Microsoft 365 and Azure to pass the SC-900 exam","2,385",,,10-Jun-22,(20% off),by Dwayne Natwick | 10 June 2022
"Learning RSLogix 5000 Programming: Build robust PLC solutions with ControlLogix, CompactLogix, and Studio 5000/RSLogix 5000, 2nd Edition","2,464",59,4.3 out of 5 stars,06-Jul-20,(20% off),by Austin Scott | 6 July 2020
LLVM Essentials,"1,510",17,3.0 out of 5 stars,21-Dec-15,(20% off),by Suyog Sarda and Mayur Pandey | 21 December 2015
Data Structures And Algorithms Made Easy: Data Structures And Algorithmic Puzzles,538,"2,130",4.4 out of 5 stars,01-Jan-16,(17% off),by Narasimha Karumanchi | 1 January 2016
OpenStack Essentials -,500,6,3.3 out of 5 stars,06-Jan-16,(23% off),by Dan Radez | 6 January 2016
Microsoft Azure IaaS Essentials,"1,510",1,5.0 out of 5 stars,28-May-15,(20% off),by Gethyn Ellis | 28 May 2015
"The The Supervised Learning Workshop: A New, Interactive Approach to Understanding Supervised Learning Algorithms, 2nd Edition","2,226",8,4.5 out of 5 stars,28-Feb-20,(20% off),"by Blaine Bateman , Ashish Ranjan Jha , et al. | 28 February 2020"
Hands-On Metaprogramming with Python 3: A programmer's guide to writing reusable code to build smarter applications,"4,040",,,23-Sep-22,(20% off),by Sulekha AloorRavi | 23 September 2022
Microsoft Power BI Data Analyst Certification Guide: A comprehensive guide to becoming a confident and certified Power BI professional,"2,703",7,4.8 out of 5 stars,24-Jun-22,(20% off),by Orrin Edenfield and Edward Corcoran | 24 June 2022
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,554,5,4.3 out of 5 stars,03-Dec-21,(44% off),by Andreas Botsikas and Michael Hlobil | 3 December 2021
Java for Data Science,"3,100",1,5.0 out of 5 stars,10-Jan-17,(20% off),by Richard M. Reese and Jennifer L. Reese | 10 January 2017
Elasticsearch Indexing,"1,510",,,30-Dec-15,(20% off),by Huseyin Akdogan | 30 December 2015
Building Machine Learning Systems with Python,704,32,4.1 out of 5 stars,26-Jul-13,(53% off),by Willi Richert and Luis Pedro Coelho | 26 July 2013
Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies,"3,100",114,4.6 out of 5 stars,17-Jan-22,(20% off),"by Saurabh Shrivastava , Neelanjali Srivastav , et al. | 17 January 2022"
Implementing Citrix XenServer Quickstarter,"2,226",,,18-Jun-13,(20% off),by Gohar Ahmed | 18 June 2013
Secret Recipes of the Python Ninja: Over 70 recipes that uncover powerful programming tactics in Python,"3,100",1,5.0 out of 5 stars,21-May-18,(20% off),by Steven F. Lott and Cody Jackson | 21 May 2018
Learn LLVM 12: A beginner's guide to learning LLVM compiler tools and core libraries with C++,"2,782",12,4.1 out of 5 stars,28-May-21,(20% off),by Kai Nacke | 28 May 2021
The Ultimate Guide to Google Cloud Foundation: A one-on-one tutorial with one of Google's top trainers,"2,704",,,19-Aug-22,(20% off),by Patrick Haggerty | 19 August 2022
Ein Profi packt aus!: Das kulinarische Jahr,"2,479",,,29-Jun-22,(9% off),German Edition | by Benjamin Weidemann | 29 June 2022
"Mastering Microsoft Endpoint Manager: Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs","3,102",88,4.7 out of 5 stars,07-Oct-21,(20% off),"by Christiaan Brinkhoff , Per Larsen , et al. | 7 October 2021"
OpenCV Android Programming By Example,"1,828",,,15-Dec-15,(20% off),by Amgad Muhammad | 15 December 2015
"Build Your Own Programming Language: A programmer's guide to designing compilers, interpreters, and DSLs for solving modern computing problems","2,782",23,4.3 out of 5 stars,31-Dec-21,(20% off),by Clinton L. Jeffery | 31 December 2021
"C# 10 and .NET 6 – Modern Cross-Platform Development: Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF Core 6 using Visual Studio 2022 and Visual Studio Code","3,100",277,4.6 out of 5 stars,09-Nov-21,(20% off),by Mark J. Price | 9 November 2021
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition","2,464",67,4.3 out of 5 stars,29-May-20,(20% off),by Jaime Buelta | 29 May 2020
"Python Machine Learning: Machine Learning and Deep Learning with Python, scikit-learn, and TensorFlow 2, 3rd Edition","3,100",367,4.5 out of 5 stars,12-Dec-19,(20% off),by Sebastian Raschka and Vahid Mirjalili | 12 December 2019
Machine Learning Algorithms: A reference guide to popular algorithms for data science and machine learning,"3,171",11,4.3 out of 5 stars,24-Jul-17,(19% off),by Giuseppe Bonaccorso | 24 July 2017
Mastering Swift 4 - Fourth Edition: An in-depth and comprehensive guide to modern programming techniques with Swift,"2,150",27,4.0 out of 5 stars,27-Sep-17,(33% off),by Jon Hoffman | 27 September 2017
Linux for Networking Professionals: Securely configure and operate Linux network services for the enterprise,"2,853",9,4.7 out of 5 stars,11-Nov-21,(18% off),by Rob VandenBrink | 11 November 2021
CodeIgniter Web Application Blueprints,"2,782",7,3.7 out of 5 stars,21-Jan-15,(20% off),by Rob Foster | 21 January 2015
"Learning JavaScript Data Structures and Algorithms: Write complex and powerful JavaScript code using the latest ECMAScript, 3rd Edition","2,784",16,4.2 out of 5 stars,30-Apr-18,(20% off),by Loiane Groner | 30 April 2018
Responsive Web Design with Html5 and Css3,"2,200",112,4.2 out of 5 stars,01-Jan-12,(29% off),by Ben Frain | 1 January 2012
AWS Certified Database - Specialty (DBS-C01) Certification: A comprehensive guide to becoming an AWS Certified Database Specialist,"2,943",7,4.4 out of 5 stars,09-Jun-22,(20% off),by Kate Gawron | 9 June 2022
"Practical Automated Machine Learning using H2O.ai: Discover the power of automated machine learning, from experimentation to deployment in production","2,385",,,26-Sep-22,(20% off),by Salil Ajgaonkar | 26 September 2022
Machine Learning with PyTorch and Scikit-Learn: Develop machine learning and deep learning models with Python,"3,100",110,4.6 out of 5 stars,25-Feb-22,(20% off),"by Sebastian Raschka , Yuxi (Hayden) Liu , et al. | 25 February 2022"
"CMake Cookbook: Building, testing, and packaging modular software with modern CMake","3,418",31,4.3 out of 5 stars,26-Sep-18,"10% Off on SBI Cards
10% Off on SBI Cards",by Radovan Bast and Roberto Di Remigio | 26 September 2018
"Learning OpenCV 4 Computer Vision with Python 3: Get to grips with tools, techniques, and algorithms for computer vision and machine learning, 3rd Edition","2,226",82,4.3 out of 5 stars,20-Feb-20,(20% off),by Joseph Howse and Joe Minichino | 20 February 2020
Mastering JavaScript Object-Oriented Programming,"2,782",6,4.4 out of 5 stars,06-Jan-16,(20% off),by Andrea Chiarelli | 6 January 2016
Automated Machine Learning with Microsoft Azure: Build highly accurate and scalable end-to-end AI solutions with Azure AutoML,"2,782",9,4.5 out of 5 stars,23-Apr-21,(20% off),by Dennis Michael Sawyers | 23 April 2021
Modern Programming: Object Oriented Programming and Best Practices: Deconstruct object-oriented programming and use it with other programming paradigms to build applications,"2,226",4,4.4 out of 5 stars,28-Jun-19,(20% off),by Graham Lee | 28 June 2019
TypeScript 4 Design Patterns and Best Practices: Discover effective techniques and design patterns for every programming task,"2,782",9,4.1 out of 5 stars,15-Sep-21,(20% off),by Theo Despoudis | 15 September 2021
Mastering Embedded Linux Programming -: Unleash the full potential of Embedded Linux with Linux 4.9 and Yocto Project 2.2 (Morty) Updates,"3,101",47,4.3 out of 5 stars,30-Jun-17,(20% off),by Chris Simmonds | 30 June 2017
Java EE 8 Cookbook: Build reliable applications with the most robust and mature technology for enterprise development,"2,500",5,3.3 out of 5 stars,09-Apr-18,(36% off),by Elder Moraes | 9 April 2018
Learn Ethereum: Build your own decentralized applications with Ethereum and smart contracts,"2,226",50,4.3 out of 5 stars,20-Sep-19,(20% off),"by Xun (Brian) Wu , Zhihong Zou , et al. | 20 September 2019"
"Machine Learning for Time-Series with Python: Forecast, predict, and detect anomalies with state-of-the-art machine learning methods","2,941",25,4.0 out of 5 stars,29-Oct-21,(20% off),by Ben Auffarth | 29 October 2021
Statistics for Data Science,"2,465",9,4.0 out of 5 stars,17-Nov-17,(20% off),by James D. Miller | 17 November 2017
Mastering Linux Device Driver Development: Write custom device drivers to support computer peripherals in Linux operating systems,"2,782",19,4.8 out of 5 stars,08-Jan-21,(20% off),by John Madieu | 8 January 2021
MobX Quick Start Guide: Supercharge the client state in your React apps with MobX,"1,828",12,4.3 out of 5 stars,26-Jul-18,(20% off),by Pavan Podila and Michel Weststrate | 26 July 2018
Apache Spark Deep Learning Cookbook: Over 80 recipes that streamline deep learning in a distributed environment with Apache Spark,"2,999",1,5.0 out of 5 stars,13-Jul-18,(23% off),by Ahmed Sherif and Amrith Ravindra | 13 July 2018
Lean Mobile App Development,"2,464",6,4.1 out of 5 stars,28-Nov-17,(20% off),"by Mike van Drongelen, Adam Dennis, et al. | 28 November 2017"
Phoenix Web Development: Create rich web applications using functional programming techniques with Phoenix and Elixir,"2,465",1,3.0 out of 5 stars,30-Apr-18,(20% off),by Mike Voloz and Brandon Richey | 30 April 2018
"Engineering MLOps: Rapidly build, test, and manage production-ready machine learning life cycles at scale","2,782",20,3.8 out of 5 stars,19-Apr-21,(20% off),by Emmanuel Raj | 19 April 2021
"Hands-On Serverless Computing with Google Cloud: Build, deploy, and containerize apps using Cloud Functions, Cloud Run, and cloud-native technologies","3,102",6,4.3 out of 5 stars,14-Feb-20,(20% off),by Richard Rose | 14 February 2020
The The Art of CRM: Proven strategies for modern customer relationship management,"2,464",14,3.8 out of 5 stars,22-May-19,(20% off),by Max Fatouretchi | 22 May 2019
Mastering Metasploit,"3,100",14,4.4 out of 5 stars,26-May-14,(20% off),by Nipun Jaswal | 26 May 2014
Computer Programming for Absolute Beginners: Learn essential computer science concepts and coding techniques to kick-start your programming career,"2,226",70,4.3 out of 5 stars,31-Jul-20,(20% off),by Joakim Wassberg | 31 July 2020
"React 17 Design Patterns and Best Practices: Design, build, and deploy production-ready web applications using industry-standard practices, 3rd Edition","2,464",29,4.3 out of 5 stars,17-May-21,(20% off),by Carlos Santana Roldán | 17 May 2021
"Learning C# by Developing Games with Unity 2020: An enjoyable and intuitive approach to getting started with C# programming and Unity, 5th Edition","2,499",303,4.6 out of 5 stars,21-Aug-20,(52% off),by Harrison Ferrone | 21 August 2020
Designing Hexagonal Architecture with Java: An architect's guide to building maintainable and change-tolerant applications with Java and Quarkus,"2,466",13,4.8 out of 5 stars,07-Jan-22,(20% off),by Davi Vieira | 7 January 2022
Data Analytics Made Easy: Analyze and present data to make informed decisions without writing any code,"1,828",20,4.8 out of 5 stars,30-Aug-21,(20% off),"by Andrea De Mauro , Francesco Marzoni, et al. | 30 August 2021"
Hands-On Embedded Programming with C++17: Create versatile and robust embedded solutions for MCUs and RTOSes with modern C++,"2,782",13,3.9 out of 5 stars,31-Jan-19,(20% off),by Maya Posch | 31 January 2019
Microsoft Dynamics AX 2012 R3 Reporting Cookbook,"3,736",3,4.0 out of 5 stars,27-Mar-15,(20% off),"by Deepak Agarwal, Chhavi Aggarwal, et al. | 27 March 2015"
"Professional Azure SQL Database Administration: Equip yourself with the skills to manage and maintain data in the cloud, 2nd Edition","2,782",18,4.1 out of 5 stars,19-Jul-19,(20% off),by Ahmad Osama | 19 July 2019
Software-Defined Networking with OpenFlow -,"2,465",1,5.0 out of 5 stars,25-Oct-17,(20% off),by Oswald Coker and Siamak Azodolmolky | 25 October 2017
Mastering Python for Data Science,"3,736",15,3.8 out of 5 stars,01-Jan-15,(20% off),by Samir Madhavan Samir | 1 January 2015
"Data Science Projects with Python: A case study approach to gaining valuable insights from real data with machine learning, 2nd Edition","2,226",19,4.3 out of 5 stars,29-Jul-21,(20% off),by Stephen Klosterman | 29 July 2021
