book_name,book_ratings,book_number_of_reviews,book_price,book_discount,book_author,day,month,year,years_launched,keyword,keyword2
"Learning Tableau 2022 - Fifth Edition: Create effective data visualizations, build interactive visual analytics, and improve your data storytelling capabilities",3.8,4,6800,0,by Joshua N. Milligan ,30,June,2022,0,['learning tableau 2022'],['tableau']
C++ Data Structures and Algorithm Design Principles: Leverage the power of modern C++ to build robust and scalable applications,3,4,2464,20,"by John Carey, Shreyans Doshi, et al. ",31,October,2019,3,['data structures algorithm'],['scalable']
Deep Learning from the Basics: Python and Deep Learning: Theory and Implementation,4.2,5,2305,20,by Koki Saitoh ,8,March,2021,1,['python deep learning'],['python']
"Angular 6 by Example: Get up and running with Angular by building modern real-world web apps, 3rd Edition",3.5,7,3199,4,by Chandermani Arora and Kevin Hennessy ,22,June,2018,4,['angular example'],['angular']
"Mastering Windows PowerShell Scripting: Automate and manage your environment using PowerShell Core 6.0, 3rd Edition",4.6,79,3418,20,by Chris Dent ,28,February,2019,3,['mastering windows powershell'],['powershell']
Learn Python in 7 Days,2.3,3,2319,17,by Mohit and Bhaskar N. Das ,25,May,2017,5,['learn python days'],['python']
Hands-On Network Programming with C: Learn socket programming in C and write secure and optimized network code,4.5,113,2296,18,by Lewis Van Winkle ,13,May,2019,3,['learn socket programming'],['socket']
Metasploit Penetration Testing Cookbook,4.1,11,3100,20,by Abhinav Singh ,22,June,2012,10,['metasploit penetration testing'],['metasploit']
Generative Adversarial Networks Projects: Build next-generation generative models using TensorFlow and Keras,3.8,14,2782,20,by Kailash Ahirwar ,31,January,2019,3,['adversarial networks projects'],['tensorflow']
Practical Data Science Cookbook -,5,1,2782,20,"by Prabhanjan Tattar , Tony Ojeda, et al. ",29,June,2017,5,['data science cookbook'],['cookbook']
"Mastering Kotlin: Learn advanced Kotlin programming techniques to build apps for Android, iOS, and the web",4.6,29,2464,20,by Nate Ebel ,11,October,2019,3,['advanced kotlin programming'],['kotlin']
Salesforce.com Customization Handbook,5,1,3100,20,by Rakesh Gupta and Sagar Pareek ,12,September,2014,8,['salesforce com customization'],['customization']
Complete Virtual Reality and Augmented Reality Development with Unity: Leverage the power of Unity and become a pro at creating mixed reality applications,4.2,14,3100,20,by Jesse Glover and Jonathan Linowes ,17,April,2019,3,['mixed reality applications'],['unity']
Practical Internet of Things Security: Beat IoT security threats by strengthening your security strategy and posture against IoT vulnerabilities,4.5,15,2782,20,by Brian Russell and Drew Van Duren ,6,January,2016,6,['beat iot security'],['iot']
VMware Workstation - No Experience Necessary,3.9,8,589,81,by Sander van Vugt ,23,August,2013,9,['vmware workstation'],['vmware']
"Hands-On Serverless Applications with Go: Build real-world, production-ready applications with AWS Lambda",4.7,8,2782,20,by Mohamed Labouardy ,29,August,2018,4,['serverless applications build'],['serverless']
Bioinformatics with Python Cookbook,4.7,4,3100,28,by Tiago Antao ,25,June,2015,7,['bioinformatics python cookbook'],['bioinformatics']
"Learning Continuous Integration with Jenkins: A beginner's guide to implementing Continuous Integration and Continuous Delivery using Jenkins 2, 2nd Edition",3.7,16,2782,20,by Nikhil Pathania ,20,December,2017,5,['continuous integration jenkins'],['jenkins']
Mastering Machine Learning with R,4.7,4,2700,31,by Cory Lesmeister ,28,October,2015,7,['mastering machine learning'],['learning']
Tensorflow Machine Learning Cookbook: Over 60 practical recipes to help you master Google's TensorFlow machine learning library,3.8,15,799,81,by Nick McClure ,1,January,2017,5,['tensorflow machine learning'],['tensorflow']
"Spring Security - Third Edition: Secure your web applications, RESTful services, and microservice architectures",4.2,15,3100,20,"by Mick Knutson, Robert Winch, et al. ",28,November,2017,5,['spring security'],['microservice']
"React Design Patterns and Best Practices: Design, build and deploy production-ready web applications using standard industry practices, 2nd Edition",4.8,23,2464,20,by Carlos Santana Roldán ,30,March,2019,3,['react design patterns'],['react']
Agile Model-Based Systems Engineering Cookbook: Improve system development by applying proven recipes for effective agile systems engineering,4.3,36,4054,20,by Bruce Powel Douglass ,31,March,2021,1,['agile systems engineering'],['agile']
Hands-On Computer Vision with TensorFlow 2: Leverage deep learning to create powerful image processing apps with TensorFlow 2.0 and Keras,4.1,49,2226,20,by Benjamin Planche and Eliot Andres ,30,May,2019,3,['computer vision tensorflow'],['tensorflow']
"Mastering JavaScript Functional Programming: Write clean, robust, and maintainable web and server code using functional JavaScript, 2nd Edition",4.4,36,2226,20,by Federico Kereki ,24,January,2020,2,['javascript functional programming'],['javascript']
Regression Analysis with R: Design and develop statistical nodes to identify unique relationships within data at scale,4.4,8,2464,20,by Giuseppe Ciaburro ,31,January,2018,4,['develop statistical nodes'],['regression']
Julia 1.0 Programming Cookbook: Over 100 numerical and distributed computing recipes for your daily data science workﬂow,2.6,5,2782,20,by Bogumił Kamiński and Przemysław Szufel ,29,November,2018,4,['julia programming cookbook'],['julia']
Expert C++: Become a proficient programmer by learning coding best practices with C++17 and C++20's latest features,4.2,45,2464,20,by Vardan Grigoryan and Shunguang Wu ,10,April,2020,2,['proficient programmer learning'],['proficient']
Angular Cookbook: Over 80 actionable recipes every Angular developer should know,4.3,28,2226,20,by Muhammad Ahsan Ayaz and Najla Obaid ,6,August,2021,1,['angular cookbook'],['angular']
Getting Started with WebRTC,3.8,8,2067,20,by Rob Manson ,25,September,2013,9,['getting started webrtc'],['webrtc']
Hands-On System Programming with Go: Build modern and concurrent applications for Unix and Linux systems using Golang,3.9,15,2464,20,by Alex Guerrieri ,5,July,2019,3,['systems using golang'],['golang']
Gradle Essentials (Community Experience Distilled),4.2,15,1828,20,by Kunal Dabir and Abhinandan ,23,December,2015,7,['gradle essentials community'],['gradle']
"Parallel Programming and Concurrency with C# 10 and .NET 6: A modern approach to building faster, more responsive, and asynchronous .NET applications using C#",5,2,2385,20,by Alvin Ashcraft ,31,August,2022,0,['asynchronous net applications'],['concurrency']
Flutter for Beginners: An introductory guide to building cross-platform mobile applications with Flutter and Dart 2,4.1,37,2226,20,by Alessandro Biessek ,12,September,2019,3,['mobile applications flutter'],['flutter']
"JavaScript from Beginner to Professional: Learn JavaScript quickly by building fun, interactive, and dynamic web apps, games, and pages",4.7,91,2226,20,"by Laurence Lars Svekis , Maaike van Putten , et al. ",15,December,2021,1,['professional learn javascript'],['javascript']
Troubleshooting PostgreSQL,4.3,7,1828,20,by Hans-Jurgen Schonig ,30,March,2015,7,['troubleshooting postgresql'],['postgresql']
The Data Wrangling Workshop: Create your own actionable insights using data from multiple raw sources,4.6,12,2226,20,"by Brian Lipp , Shubhadeep Roychowdhury, et al. ",29,July,2020,2,['create actionable insights'],['data']
Beginning Java Data Structures and Algorithms: Sharpen your problem solving skills by learning core computer science concepts in a pain-free manner,4.3,37,1510,20,by James Cutajar ,30,July,2018,4,['beginning java data'],['java']
"Blender 3D By Example: A project-based guide to learning the latest Blender 3D, EEVEE rendering engine, and Grease Pencil, 2nd Edition",4.5,146,2226,20,by Oscar Baechler and Xury Greer ,29,May,2020,2,['blender 3d example'],['blender']
"Hands-On Unity 2020 Game Development: Build, customize, and optimize professional games using Unity 2020 and C#",4.4,70,2464,20,by Nicolas Alejandro Borromeo ,29,July,2020,2,['unity 2020 game'],['unity']
The Unsupervised Learning Workshop: Get started with unsupervised learning algorithms and simplify your unorganized data to help make future predictions,4,5,2464,20,"by Aaron Jones, Christopher Kruger , et al. ",29,July,2020,2,['unsupervised learning'],['unsupervised']
AWS Certified Cloud Practitioner Exam Guide: Build your cloud computing knowledge and build your skills as an AWS Certified Cloud Practitioner (CLF-C01),4.9,10,2784,20,by Rajesh Daswani ,13,January,2022,0,['cloud practitioner exam'],['aws']
"Artificial Intelligence for IoT Cookbook: Over 70 recipes for building AI solutions for smart homes, industrial IoT, and smart cities",4.3,5,2464,20,by Michael Roshak ,5,March,2021,1,['artificial intelligence iot'],['ai']
"Data Forecasting and Segmentation Using Microsoft Excel: Leverage machine learning for data grouping, linear predictions, and time series projections without using code",5,1,2703,20,by Fernando Roque ,13,May,2022,0,['data forecasting segmentation'],['forecasting']
Hands-On Design Patterns with React Native: Proven techniques and patterns for efficient native mobile development with JavaScript,4.4,6,2464,20,by Mateusz Grzesiukiewicz ,29,September,2018,4,['patterns react native'],['react']
Building Multicopter Video Drones,4.2,18,1828,20,by Ty Audronis ,26,August,2014,8,['multicopter video drones'],['multicopter']
Learning SciPy for Numerical and Scientific Computing -,4.4,9,1899,17,"by Sergio J. RojasG., Erik A Christensen, et al. ",26,February,2015,7,['learning scipy numerical'],['scipy']
"Creative Projects for Rust Programmers: Build exciting projects on domains such as web apps, WebAssembly, games, and parsing",4.2,23,2782,20,by Carlo Milanesi ,19,June,2020,2,['projects rust programmers'],['rust']
Web Development with Django: Learn to build modern web applications with a Python-based framework,4.3,40,2464,20,"by Ben Shaw , Saurabh Badhwar , et al. ",25,February,2021,1,['web development django'],['django']
Implementing Oracle Integration Cloud Service,3.5,8,3418,20,by Robert van Molken and Phil Wilkins ,20,January,2017,5,['oracle integration cloud'],['oracle']
The The Successful Software Manager: The definitive guide to growing from developer to manager,3.6,11,2226,20,by Herman Fung ,28,June,2019,3,['successful software manager'],['manager']
Learn Java 17 Programming -: Learn to code by understanding the fundamentals of Java 17,5,2,2385,20,by Nick Samoylov ,29,July,2022,0,['learn java 17'],['java']
"Expert Python Programming: Master Python by learning the best coding practices and advanced programming concepts, 4th Edition",4.5,41,2782,20,by Michał Jaworski and Tarek Ziadé ,28,May,2021,1,['expert python programming'],['python']
Linux Device Driver Development: Everything you need to start with device driver development for Linux kernel and embedded Linux,4.4,4,3100,20,by John Madieu ,21,April,2022,0,['device driver development'],['kernel']
LEARN PYTHON WITH 200 PROGRAMS: Practical Guide for beginners and XI & XII std CBSE students,4.3,9,525,32,by Vaishali B. Bhagat ,2,July,2020,2,['learn python 200'],['python']
Learn Robotics Programming: Build and control AI-enabled autonomous robots using the Raspberry Pi and Python,4.4,69,2535,18,by Danny Staple ,12,February,2021,1,['learn robotics programming'],['robotics']
Mastering JavaScript Design Patterns -,2.9,5,2464,20,by Simon Timms ,6,January,2016,6,['javascript design patterns'],['patterns']
Laravel 5 Essentials,3.5,12,1828,20,by Martin Bean ,28,April,2015,7,['laravel essentials'],['laravel']
Hands-On Design Patterns with Java: Learn design patterns that enable the building of large-scale software architectures,3.5,13,2464,20,by Dr. Edward Lavieri ,27,April,2019,3,['design patterns java'],['java']
Learning Unity Physics,2.6,6,3566,22,by K. Aava Rani ,29,October,2014,8,['learning unity physics'],['physics']
Learning Selenium Testing Tools with Python,4.3,22,1800,38,by Unmesh Gundecha ,30,December,2014,8,['learning selenium testing'],['selenium']
"Dynamics 365 for Finance and Operations Development Cookbook - Fourth Edition: Recipes to explore forms, look-ups and different integrations like Power BI and MS Office for your business solutions",4.4,6,3736,20,by Deepak Agarwal and Abhimanyu Singh ,11,August,2017,5,['dynamics 365 finance'],['dynamics']
Learning Internet of Things,4.1,6,2719,15,by Peter Waher ,27,January,2015,7,['learning internet things'],['learning']
Automating Salesforce Marketing Cloud: Reap all the benefits of the SFMC platform and increase your productivity with the help of real-world examples,4.6,33,2784,20,by Greg Gifford and Jason Hanshaw ,18,April,2022,0,['automating salesforce marketing'],['automating']
"Hands-On RTOS with Microcontrollers: Building real-time embedded systems using FreeRTOS, STM32 MCUs, and SEGGER debug tools",4.7,62,3261,20,by Brian Amos ,15,May,2020,2,['hands rtos microcontrollers'],['rtos']
"Security with Go: Explore the power of Golang to secure host, web, and cloud services",4.3,10,2464,20,by John Daniel Leon ,31,January,2018,4,['golang secure'],['golang']
Hands-On Agile Software Development with JIRA: Design and manage software projects using the Agile methodology,3.8,40,1669,20,by David Harned ,30,July,2018,4,['software development jira'],['jira']
Building Analytics Teams: Harnessing analytics and artificial intelligence for business improvement,4.4,83,2067,20,by John K. Thompson and Douglas B. Laney ,30,June,2020,2,['building analytics teams'],['analytics']
Learning iOS Penetration Testing,4.3,17,2544,20,by Swaroop Yermalkar ,6,January,2016,6,['learning ios penetration'],['ios']
Learning Redux,4.5,10,3100,20,by Daniel Bugl ,31,August,2017,5,['learning redux'],['redux']
"Implementing Microsoft Dynamics 365 for Finance and Operations Apps: Learn best practices, architecture, tools, techniques, and more, 2nd Edition",4.3,28,2782,20,"by JJ Yadav, Sandeep Shukla, et al. ",6,March,2020,2,['dynamics 365 finance'],['implementing']
"Fixing Bad UX Designs: Master proven approaches, tools, and techniques to make your user experience great again",3,2,2464,20,by Lisandra Maioli ,27,February,2018,4,['fixing bad ux'],['ux']
Microsoft Azure Administrator – Exam Guide AZ-103: Your in-depth certification guide in becoming Microsoft Certified Azure Administrator Associate,4,51,2464,20,by Sjoukje Zaal ,31,May,2019,3,['certified azure administrator'],['azure']
"Practical Autodesk AutoCAD 2021 and AutoCAD LT 2021: A no-nonsense, beginner's guide to drafting and 3D modeling with Autodesk AutoCAD",4.3,123,2505,20,by Yasser Shoukry and Jaiprakash Pandey ,15,May,2020,2,['practical autodesk autocad'],['autocad']
Continuous Delivery with Docker and Jenkins - Third Edition: Create secure applications by building complete CI/CD pipelines,4.4,6,3577,20,by Rafal Leszko ,19,May,2022,0,['continuous delivery docker'],['docker']
Expert Data Modeling with Power BI: Get the best out of Power BI by building optimized data models for reporting and business needs,4.8,40,3577,20,by Soheil Bakhshi and Christian Wade ,11,June,2021,1,['expert data modeling'],['expert']
"Artificial Intelligence with Python: Your complete guide to building intelligent apps using Python 3.x, 2nd Edition",4.2,46,3100,20,by Alberto Artasanchez and Prateek Joshi ,31,January,2020,2,['artificial intelligence python'],['python']
"Microsoft Power BI Quick Start Guide: Bring your data to life through data modeling, visualization, digital storytelling, and more, 2nd Edition",4.3,141,2067,20,"by Devin Knight , Mitchell Pearson , et al. ",30,October,2020,2,['microsoft power bi'],['data']
PostgreSQL 11 Administration Cookbook: Over 175 recipes for database administrators to manage enterprise databases,4.2,22,2782,20,"by Simon Riggs , Gianni Ciolli, et al. ",3,May,2019,3,['postgresql 11 administration'],['postgresql']
"Salesforce Lightning Platform Enterprise Architecture: Architect and deliver packaged applications that cater to enterprise business needs, 3rd Edition",4.7,40,3100,20,by Andrew Fawcett and Wade Wegner ,4,November,2019,3,['lightning platform enterprise'],['salesforce']
"Java Projects: Learn the fundamentals of Java 11 programming by building industry grade practical projects, 2nd Edition",2.5,9,2782,20,by Peter Verhas ,31,August,2018,4,['fundamentals java 11'],['java']
"Machine Learning with Apache Spark Quick Start Guide: Uncover patterns, derive actionable insights, and learn from big data using MLlib",5,1,1828,20,by Jillur Quddus ,26,December,2018,4,['learning apache spark'],['mllib']
"Deep Reinforcement Learning Hands-On: Apply modern RL methods, with deep Q-networks, value iteration, policy gradients, TRPO, AlphaGo Zero and more",4.3,88,2784,20,by Maxim Lapan ,21,June,2018,4,['deep reinforcement learning'],['learning']
The DevOps 2.5 Toolkit,5,2,2704,20,by Viktor Farcic ,28,November,2019,3,['devops toolkit'],['devops']
Microsoft Power Platform Enterprise Architecture: A guide for architects and decision makers to craft complex solutions tailored to meet business needs,4.4,31,3100,20,by Robert Rybaric ,25,September,2020,2,['power platform enterprise'],['power']
"Learning DevOps: A comprehensive guide to accelerating DevOps culture adoption with Terraform, Azure DevOps, Kubernetes, and Jenkins",4.8,13,2782,20,by Mikael Krief ,31,March,2022,0,['devops culture adoption'],['devops']
Learn Web Development with Python: Get hands-on with Python Programming and Django web development,3.8,15,3100,20,"by Fabrizio Romano, Gaston C. Hillar, et al. ",21,December,2018,4,['django web development'],['django']
Mastering Embedded Linux Programming: Create fast and reliable embedded solutions with Linux 5.4 and the Yocto Project 3.1 (Dunfell),4.7,46,3100,20,by Frank Vasquez and Chris Simmonds ,14,May,2021,1,['mastering embedded linux'],['linux']
"Augmented Reality for Developers: Build practical augmented reality applications with Unity, ARCore, ARKit, and Vuforia",3.7,11,3100,20,by Jonathan Linowes and Krystian Babilinski ,9,October,2017,5,['augmented reality developers'],['augmented']
Linux Device Drivers Development: Develop customized drivers for embedded Linux,4.3,67,2782,20,by John Madieu ,20,October,2017,5,['drivers embedded linux'],['linux']
"Hands-On Microservices with Kubernetes: Build, deploy, and manage scalable microservices on Kubernetes",4.1,16,2464,20,by Gigi Sayfan ,5,July,2019,3,['scalable microservices kubernetes'],['kubernetes']
RESTful Web API Design with Node.js -: A step-by-step guide in the RESTful world of Node.js.,4.1,16,1828,20,by Valentin Bojinov ,6,January,2016,6,['restful web api'],['restful']
"AWS SysOps Cookbook: Practical recipes to build, automate, and manage your AWS-based cloud environments, 2nd Edition",3.7,6,2464,20,"by Eric Z. Beard , Rowan Udell, et al. ",27,September,2019,3,['aws sysops cookbook'],['aws']
"Hands-On Dark Web Analysis: Learn what goes on in the Dark Web, and how to work with it",4,24,1828,20,by Sion Retzkin ,26,December,2018,4,['dark web analysis'],['web']
"Go Programming Cookbook: Over 85 recipes to build modular, readable, and testable Golang applications across various domains, 2nd Edition",3.3,13,2464,20,by Aaron Torres ,19,July,2019,3,['golang applications'],['golang']
Mastering Wireshark 2: Develop skills for network analysis and address a wide range of information security threats,5,1,2464,20,by Andrew Crouthamel ,31,May,2018,4,['wireshark develop skills'],['wireshark']
Learn C Programming: A beginner's guide to learning C programming the easy and disciplined way,4.6,109,2226,20,by Jeff Szuhay ,26,June,2020,2,['learning programming'],['programming']
Data Science with Python: Combine Python with machine learning principles to discover hidden patterns in raw data,4.3,10,2226,20,"by Rohan Chopra , Aaron England, et al. ",19,July,2019,3,['python machine learning'],['python']
Hands-On Neural Networks: Learn how to build and train your first neural network model using Python,4.2,6,2226,20,by Leonardo De Marchi and Laura Mitchell ,30,May,2019,3,['neural network model'],['neural']
"Selenium Framework Design in Data-Driven Testing: Build data-driven test frameworks using Selenium WebDriver, AppiumDriver, Java, and TestNG",4.3,23,2782,20,by Carl Cocchiaro ,23,January,2018,4,['data driven testing'],['webdriver']
Machine Learning for Cybersecurity Cookbook: Over 80 recipes on how to implement machine learning algorithms for building security systems using Python,4.3,17,2782,20,by Emmanuel Tsukerman ,25,November,2019,3,['machine learning cybersecurity'],['cybersecurity']
C++ 20 STL Cookbook: Leverage the latest features of the STL to overcome real-world problems,4.5,7,2385,20,by Bill Weinman ,24,June,2022,0,['stl cookbook'],['stl']
MySQL 8 for Big Data,5,19,2782,20,"by Shabbir Challawala , Jaydip Lakhatariya, et al. ",20,October,2017,5,['mysql big data'],['mysql']
"Mastering PostgreSQL 12: Advanced techniques to build and administer scalable and reliable PostgreSQL database applications, 3rd Edition",4.2,33,2464,20,by Hans-Jürgen Schönig ,29,November,2019,3,['mastering postgresql'],['postgresql']
Learn T-SQL Querying: A guide to developing efficient and elegant T-SQL code,4.7,36,2464,20,by Pedro Lopes and Pam Lahoud ,3,May,2019,3,['learn sql querying'],['sql']
"Practical Linux Security Cookbook: Secure your Linux environment from modern-day attacks with practical recipes, 2nd Edition",4.2,7,2782,20,by Tajinder Kalsi ,31,August,2018,4,['practical linux security'],['linux']
Mapping with ArcGIS Pro: Design accurate and user-friendly maps to share the story of your data,2.7,3,2782,20,by Amy Rock and Ryan Malhoski ,8,March,2018,4,['mapping arcgis pro'],['mapping']
Linux Kernel Debugging: Leverage open source tools and advanced techniques to debug Linux kernel or module issues,5,1,2703,20,by Kaiwan N Billimoria ,8,July,2022,0,['linux kernel debugging'],['debugging']
Java 9 Dependency Injection: Write loosely coupled code with Spring 5 and Guice,4.1,7,2782,20,by Nilang Patel Krunal Patel ,1,January,2018,4,['java dependency injection'],['guice']
"Unity Artificial Intelligence Programming: Add powerful, believable, and fun AI entities in your game with the power of Unity",5,2,2464,20,by Dr. Davide Aversa ,28,March,2022,0,['unity artificial intelligence'],['ai']
Java 9 Cookbook,4.2,3,5700,0,by Mohamed Sanaulla and Nick Samoylov ,21,August,2017,5,['java cookbook'],['cookbook']
The The Art of Micro Frontends: Build websites using compositional UIs that grow naturally as your application scales,4.3,7,2464,20,by Florian Rappl and Lothar Schöttner ,21,June,2021,1,['micro frontends'],['frontends']
"Mastering SAP ABAP: A complete guide to developing fast, durable, and maintainable ABAP programs in SAP",3.6,8,2226,20,"by Paweł Grześkowiak, Wojciech Ciesielski, et al. ",31,May,2019,3,['mastering sap abap'],['abap']
"Blender Quick Start Guide: 3D Modeling, Animation, and Render with Eevee in Blender 2.8",3.5,31,1828,20,by Allan Brito ,29,September,2018,4,['render eevee blender'],['eevee']
Internet of Things Projects with ESP32: Build exciting and powerful IoT projects using the all-new Espressif ESP32,3.6,33,1828,20,by Agus Kurniawan ,30,March,2019,3,['things projects esp32'],['esp32']
Professional JavaScript: Fast-track your web development career using the powerful features of advanced JavaScript,4.6,10,2464,20,"by Hugo Di Francesco , Siyuan Gao , et al. ",30,September,2019,3,['professional javascript'],['javascript']
Mastering TypeScript,3.6,9,3500,0,by Nathan Rozentals ,23,April,2015,7,['mastering typescript'],['typescript']
Building Google Cloud Platform Solutions: Develop scalable applications from scratch and make them globally available in almost any language,3.8,6,3100,20,"by Ted Hunter, Steven Porter, et al. ",26,March,2019,3,['google cloud platform'],['scalable']
"The Machine Learning Workshop: Get ready to develop your own high-performance machine learning algorithms with scikit-learn, 2nd Edition",4.9,8,2226,20,by Hyatt Saleh ,22,July,2020,2,['scikit learn'],['scikit']
Microsoft Windows Intune 2.0: Quickstart Administration,3.7,6,3100,20,by David Overton ,26,January,2012,10,['windows intune quickstart'],['quickstart']
Architecting Google Cloud Solutions: Learn to design robust and future-proof solutions with Google Cloud technologies,4.2,10,2782,20,by Victor Dantas ,9,April,2021,1,['google cloud technologies'],['cloud']
"Hands-On Reactive Programming in Spring 5: Build cloud-ready, reactive systems with Spring 5 and Project Reactor",4.5,28,2782,20,by Oleh Dokuka and Igor Lozynskyi ,8,October,2018,4,['reactive programming spring'],['reactive']
"AWS Certified Developer – Associate Guide: Your one-stop solution to passing the AWS developer's 2019 (DVA-C01) certification, 2nd Edition",4.2,24,3100,20,by Vipul Tankariya and Bhavin Parmar ,3,June,2019,3,['aws certified developer'],['aws']
"Mastering Python Networking: Your one-stop solution to using Python for network automation, DevOps, and Test-Driven Development, 2nd Edition",4.2,48,3171,19,by Eric Chou ,1,January,2018,4,['network automation devops'],['devops']
"Python GUI Programming with Tkinter: Design and build functional and user-friendly GUI applications, 2nd Edition",4.3,44,2941,20,by Alan D. Moore ,28,October,2021,1,['gui programming tkinter'],['tkinter']
"Docker on Amazon Web Services: Build, deploy, and manage your container applications at scale",4.5,10,3100,20,by Justin Menga ,30,August,2018,4,['container applications scale'],['docker']
"Drupal 9 Module Development: Get up and running with building powerful Drupal modules and applications, 3rd Edition",4.4,42,3100,20,by Daniel Sipos and Antonio De Marco ,14,August,2020,2,['module development'],['modules']
"iOS 15 Programming for Beginners: Kickstart your mobile app development journey by building iOS apps with Swift 5.5 and Xcode 13, 6th Edition",4.4,28,2466,20,by Ahmad Sahar and Craig Clayton ,24,December,2021,1,['ios 15 programming'],['xcode']
Practical Security Automation and Testing: Tools and techniques for automated security scanning and testing in DevSecOps,4.5,13,2464,20,by Tony Hsiang-Chih Hsu ,4,February,2019,3,['security automation testing'],['devsecops']
Deep Learning with Keras: Implementing deep learning models and neural networks with the power of Python,3.5,42,1599,59,by Antonio Gulli and Sujit Pal ,26,April,2017,5,['learning keras'],['keras']
Mastering Azure Machine Learning: Perform large-scale end-to-end advanced machine learning in the cloud with Microsoft Azure Machine Learning,4.4,32,2782,20,by Christoph Körner and Kaijisse Waaijer ,30,April,2020,2,['azure machine learning'],['azure']
"Deep Reinforcement Learning Hands-On: Apply modern RL methods to practical problems of chatbots, robotics, discrete optimization, web automation, and more, 2nd Edition",4.5,135,3259,20,by Maxim Lapan ,31,January,2020,2,['deep reinforcement learning'],['chatbots']
An Atypical ASP.NET Core 6 Design Patterns Guide: A SOLID adventure into architectural principles and design patterns using .NET 6 and C# 10,4.4,9,2784,20,by Carl-Hugo Marcotte and Abdelhamid Zebdi ,28,March,2022,0,['design patterns guide'],['asp']
"Kubernetes for Developers: Use Kubernetes to develop, test, and deploy your applications with the help of containers",4.6,9,2782,20,by Joseph Heck ,6,April,2018,4,['developers use kubernetes'],['kubernetes']
Deep Learning for Beginners: A beginner's guide to getting up and running with deep learning from scratch using Python,4.4,10,2466,20,by Dr. Pablo Rivas and Laura Montoya ,18,September,2020,2,['deep learning beginners'],['python']
Unity Certified Programmer: Exam Guide: Expert tips and techniques to pass the Unity certification exam at the first attempt,4.6,35,2941,20,by Philip Walker ,30,June,2020,2,['unity certification exam'],['unity']
Hands-On Data Science and Python Machine Learning: Perform data mining and machine learning efficiently using Python and Spark,4,13,360,82,by Frank Kane ,31,July,2017,5,['using python spark'],['spark']
A A Frontend Web Developer’s Guide to Testing: Explore leading web test automation frameworks and their future driven by low-code and AI,4.3,8,2464,20,by Eran Kinsbruner and Gleb Bahmutov ,29,March,2022,0,['web test automation'],['testing']
"Serverless Design Patterns and Best Practices: Build, secure, and deploy enterprise ready serverless applications with AWS to improve developer productivity",4.5,9,2782,20,by Brian Zambrano ,12,April,2018,4,['serverless applications aws'],['serverless']
Building Blockchain Projects: Building decentralized Blockchain applications with Ethereum and Solidity,3.8,38,1899,46,by Narayan Prusty ,27,April,2017,5,['building blockchain projects'],['blockchain']
Python Machine Learning Blueprints: Intuitive data projects you can relate to,3.6,4,2400,31,by Alexander T. Combs ,29,July,2016,6,['python machine learning'],['python']
The Statistics and Calculus with Python Workshop: A comprehensive introduction to mathematics in Python for artificial intelligence applications,4.6,26,2226,20,"by Peter Farrell, Alvaro Fuentes , et al. ",18,August,2020,2,['python artificial intelligence'],['python']
Hands-On Time Series Analysis with R: Perform time series analysis and forecasting using R,4.4,51,2226,20,by Rami Krispin ,31,May,2019,3,['time series analysis'],['forecasting']
"PostgreSQL 12 High Availability Cookbook: Over 100 recipes to design a highly available server with the advanced features of PostgreSQL 12, 3rd Edition",4.5,12,2784,20,by Shaun Thomas ,25,February,2020,2,['high availability'],['postgresql']
Mastering the C++17 STL: Make full use of the standard library components in C++17,4.5,24,2782,20,by Arthur O'Dwyer ,28,September,2017,5,['mastering 17 stl'],['stl']
Dynamics 365 Business Central Development Quick Start Guide: Modern development techniques for Dynamics 365 Business Central,4,20,1828,20,by Stefano Demiliani and Duilio Tacconi ,27,August,2018,4,['dynamics 365 business'],['business']
"Mastering Concurrency Programming with Java 9, Second Edition: Fast, reactive and parallel application development",4.2,11,3101,20,by Javier Fernandez Gonzalez ,1,January,2017,5,['concurrency programming java'],['concurrency']
Beginning Swift: Master the fundamentals of programming in Swift 4,4.3,5,1500,21,by Rob Kerr and Kåre Morstøl ,31,May,2018,4,['fundamentals programming swift'],['swift']
Mastering OpenCV with Practical Computer Vision Projects,4.4,19,2782,20,"by Shervin Emami, Khvedchenia Levgen, et al. ",3,December,2012,10,['mastering opencv practical'],['opencv']
Android Programming for Beginners: Learn all the Java and Android skills you need to start making powerful mobile applications,4,63,3100,20,by John Horton ,31,December,2015,7,['android programming beginners'],['android']
Applied Computational Thinking with Python: Design algorithmic solutions for complex and challenging real-world problems,4.6,17,2464,20,by Sofía De Jesús and Dayrene Martinez ,27,November,2020,2,['computational thinking python'],['computational']
"Learning ArcGIS Pro 2: A beginner's guide to creating 2D and 3D maps and editing geospatial data with ArcGIS Pro, 2nd Edition",4.7,14,3100,20,by Tripp Corbin GISP ,24,July,2020,2,['learning arcgis pro'],['arcgis']
Hands-On Reactive Programming with Reactor: Build reactive and scalable microservices using the Reactor framework,3.4,5,2464,20,by Rahul Sharma ,29,September,2018,4,['reactive programming reactor'],['microservices']
Machine Learning Fundamentals: Use Python and scikit-learn to get up and running with the hottest developments in machine learning,5,3,2226,20,by Hyatt Saleh ,29,November,2018,4,['scikit learn'],['scikit']
