book_name,book_ratings,book_number_of_reviews,book_price,book_discount,book_author,day,month,year,years_launched,keyword,keyword2
"Learn Python Programming: An in-depth introduction to the fundamentals of Python, 3rd Edition",4.1,29,2703,20,by Fabrizio Romano and Heinrich Kruger ,29,October,2021,1,['introduction fundamentals python'],['python']
"Artificial Intelligence By Example: Acquire advanced AI, machine learning, and deep learning design skills, 2nd Edition",4.2,16,2464,20,by Denis Rothman ,28,February,2020,2,['acquire advanced ai'],['ai']
"GitHub Essentials: Unleash the power of collaborative development workflows using GitHub, 2nd Edition",3.7,14,1828,20,by Achilleas Pipinellis ,30,June,2018,4,['workflows using github'],['github']
Mastering Microsoft Power Bi: Expert techniques for effective data analytics and business intelligence,4.2,156,3100,20,by Brett Powell ,1,January,2018,4,['microsoft power bi'],['analytics']
Mastering ROS for Robotics Programming: Best practices and troubleshooting solutions when working with ROS,4.6,16,3418,20,by Lentin Joseph and Jonathan Cacace ,28,October,2021,1,['mastering ros robotics'],['ros']
"Mastering Machine Learning with R -: Advanced prediction, algorithms, and learning methods with R 3.x",3.2,5,898,77,by Cory Lesmeister ,24,April,2017,5,['advanced prediction algorithms'],['prediction']
Python for Geeks: Build production-ready applications using advanced Python concepts and industry best practices,4.2,11,2464,20,by Muhammad Asif ,20,October,2021,1,['python concepts industry'],['python']
Python Algorithmic Trading Cookbook: All the recipes you need to implement your own algorithmic trading strategies in Python,3.9,29,2853,18,by Pushpak Dagade ,28,August,2020,2,['python algorithmic trading'],['algorithmic']
Workflow Automation with Microsoft Power Automate -: Use business process automation to achieve digital transformation with minimal code,4.6,7,2385,20,by Aaron Guilmette ,19,August,2022,0,['workflow automation microsoft'],['workflow']
Django 4 By Example - Fourth Edition: Build powerful and reliable Python web applications from scratch,4.6,6,2941,20,by Antonio Mele ,30,August,2022,0,['python web applications'],['django']
Artificial Intelligence with Power BI: Take your data analytics skills to the next level by leveraging the AI capabilities in Power BI,4.2,3,2782,20,by Mary-Jo Diepeveen ,29,April,2022,0,['power bi data'],['analytics']
Mastering Mobile Forensics,5,5,2782,20,by Soufiane Tahiri ,6,January,2016,6,['mastering mobile forensics'],['forensics']
"Software Architecture with Python: Design and architect highly scalable, robust, clean, and high performance applications in Python",4.1,12,1100,50,by Anand Balachandran Pillai ,28,April,2017,5,['software architecture python'],['python']
"C++ High Performance: Master the art of optimizing the functioning of your C++ code, 2nd Edition",4.6,94,3418,20,"by Björn Andrist, Viktor Sehr, et al. ",30,December,2020,2,['optimizing functioning code'],['optimizing']
Cryptography and Network Security - Principles and Practice | Seventh Edition | By Pearson,4.4,416,706,0,by Stallings William ,30,June,2017,5,['cryptography network security'],['cryptography']
Learn Quantum Computing with Python and IBM Quantum Experience: A hands-on introduction to quantum computing and writing your own quantum programs with Python,4.4,87,2464,20,by Robert Loredo ,28,September,2020,2,['quantum computing python'],['quantum']
Artificial Intelligence | Third Edition | By Pearson: A Modern Approach,4.4,1572,704,26,by Russell ,1,January,2015,7,['artificial intelligence edition'],['intelligence']
"Selenium WebDriver 3 Practical Guide: End-to-end automation testing for web and mobile browsers with Selenium WebDriver, 2nd Edition",4.4,19,2464,20,by Unmesh Gundecha and Satya Avasarala ,31,July,2018,4,['selenium webdriver practical'],['webdriver']
"Digital Design | With an Introduction to the Verilog HDL, VHDL, and SystemVerilog | Sixth Edition | By Pearson",4.6,598,615,18,by M. Morris Mano and Michael D. Ciletti ,18,May,2018,4,['verilog hdl vhdl'],['vhdl']
Mastering SaltStack -: Use Salt to the fullest,4.2,11,3102,20,by Joseph Hall ,6,December,2016,6,['mastering saltstack'],['saltstack']
Responsive Web Design with HTML5 and CSS - Fourth Edition: Build future-proof responsive websites using the latest HTML5 and CSS techniques,5,1,5009,0,by Ben Frain ,19,September,2022,0,['responsive web design'],['html5']
Low-Code Application Development with Appian: A beginner's guide to high-speed business innovation at enterprise scale using Appian,4.3,4,2464,20,by Stefan Helzle ,9,June,2022,0,['code application development'],['appian']
The The Java Workshop: Learn object-oriented programming and kickstart your career in software development,3.5,11,2464,20,"by David Cuartielles, Andreas Göransson , et al. ",31,October,2019,3,['object oriented programming'],['java']
"Modern C++ Programming Cookbook: Master C++ core language and standard library features, with over 100 recipes, updated to C++20, 2nd Edition",4.3,76,3100,20,by Marius Bancila ,11,September,2020,2,['modern programming cookbook'],['programming']
Mobile Forensics Cookbook,3.4,5,2464,20,by Igor Mikhaylov ,15,December,2017,5,['mobile forensics cookbook'],['forensics']
"Learning RSLogix 5000 Programming: Build robust PLC solutions with ControlLogix, CompactLogix, and Studio 5000/RSLogix 5000, 2nd Edition",4.3,59,2464,20,by Austin Scott ,6,July,2020,2,['plc solutions controllogix'],['controllogix']
LLVM Essentials,3,17,1510,20,by Suyog Sarda and Mayur Pandey ,21,December,2015,7,['llvm essentials'],['llvm']
Data Structures And Algorithms Made Easy: Data Structures And Algorithmic Puzzles,4.4,2130,538,17,by Narasimha Karumanchi ,1,January,2016,6,['algorithmic puzzles'],['algorithms']
OpenStack Essentials -,3.3,6,500,23,by Dan Radez ,6,January,2016,6,['openstack essentials'],['openstack']
Microsoft Azure IaaS Essentials,5,1,1510,20,by Gethyn Ellis ,28,May,2015,7,['azure iaas essentials'],['azure']
"The The Supervised Learning Workshop: A New, Interactive Approach to Understanding Supervised Learning Algorithms, 2nd Edition",4.5,8,2226,20,"by Blaine Bateman , Ashish Ranjan Jha , et al. ",28,February,2020,2,['supervised learning workshop'],['learning']
Microsoft Power BI Data Analyst Certification Guide: A comprehensive guide to becoming a confident and certified Power BI professional,4.8,7,2703,20,by Orrin Edenfield and Edward Corcoran ,24,June,2022,0,['microsoft power bi'],['data']
Azure Data Scientist Associate Certification Guide: A hands-on guide to machine learning in Azure and passing the Microsoft Certified DP-100 exam,4.3,5,554,44,by Andreas Botsikas and Michael Hlobil ,3,December,2021,1,['machine learning azure'],['azure']
Java for Data Science,5,1,3100,20,by Richard M. Reese and Jennifer L. Reese ,10,January,2017,5,['java data science'],['java']
Building Machine Learning Systems with Python,4.1,32,704,53,by Willi Richert and Luis Pedro Coelho ,26,July,2013,9,['building machine learning'],['python']
Solutions Architect's Handbook: Kick-start your career as a solutions architect by learning architecture design principles and strategies,4.6,114,3100,20,"by Saurabh Shrivastava , Neelanjali Srivastav , et al. ",17,January,2022,0,['solutions architect handbook'],['architecture']
Secret Recipes of the Python Ninja: Over 70 recipes that uncover powerful programming tactics in Python,5,1,3100,20,by Steven F. Lott and Cody Jackson ,21,May,2018,4,['powerful programming tactics'],['python']
Learn LLVM 12: A beginner's guide to learning LLVM compiler tools and core libraries with C++,4.1,12,2782,20,by Kai Nacke ,28,May,2021,1,['learning llvm compiler'],['llvm']
"Mastering Microsoft Endpoint Manager: Deploy and manage Windows 10, Windows 11, and Windows 365 on both physical and cloud PCs",4.7,88,3102,20,"by Christiaan Brinkhoff , Per Larsen , et al. ",7,October,2021,1,['mastering microsoft endpoint'],['endpoint']
"Build Your Own Programming Language: A programmer's guide to designing compilers, interpreters, and DSLs for solving modern computing problems",4.3,23,2782,20,by Clinton L. Jeffery ,31,December,2021,1,['designing compilers interpreters'],['compilers']
"C# 10 and .NET 6 – Modern Cross-Platform Development: Build apps, websites, and services with ASP.NET Core 6, Blazor, and EF Core 6 using Visual Studio 2022 and Visual Studio Code",4.6,277,3100,20,by Mark J. Price ,9,November,2021,1,['visual studio 2022'],['asp']
"Python Automation Cookbook: 75 Python automation ideas for web scraping, data wrangling, and processing Excel, reports, emails, and more, 2nd Edition",4.3,67,2464,20,by Jaime Buelta ,29,May,2020,2,['scraping data wrangling'],['scraping']
