"book_name","book_url","book_ratings","book_number_of_reviews","book_number_of_reviews_url","book_price","book_price_url","book_authors"
"CompTIA Linux+ Certification Guide: A comprehensive guide to achieving LX0-103 and LX0-104 certifications with mock exams","https://www.amazon.in/CompTIA-Linux-Certification-Guide-certifications/dp/1789344492/ref=sr_1_9?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-9","3.2 out of 5 stars","6","https://www.amazon.in/CompTIA-Linux-Certification-Guide-certifications/dp/1789344492/ref=sr_1_9?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-9#customerReviews","","","by Philip Inshanally | 26 September 2018"
"Beginning API Development with Node.js: Build highly scalable, developer-friendly APIs for the modern web with JavaScript and Node.js","https://www.amazon.in/Beginning-API-Development-Node-js-developer-friendly-ebook/dp/B07FY84XCT/ref=sr_1_10?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-10","3.5 out of 5 stars","8","https://www.amazon.in/Beginning-API-Development-Node-js-developer-friendly-ebook/dp/B07FY84XCT/ref=sr_1_10?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-10#customerReviews","899","https://www.amazon.in/Beginning-API-Development-Node-js-developer-friendly/dp/1789539668/ref=sr_1_10?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-10","by Anthony Nandaa | 24 July 2018"
"Runescape Gold Strategy Guide","https://www.amazon.in/Runescape-Strategy-Guide-Lesley-Harrison-ebook/dp/B008BRF8TC/ref=sr_1_11?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-11","3.5 out of 5 stars","6","https://www.amazon.in/Runescape-Strategy-Guide-Lesley-Harrison-ebook/dp/B008BRF8TC/ref=sr_1_11?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-11#customerReviews","2,781","https://www.amazon.in/Runescape-Strategy-Guide-Lesley-Harrison/dp/1849692904/ref=sr_1_11?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-11","by Lesley A. Harrison | 14 June 2012"
"Python for Data Science - Data Science With Python!: Python Data Science! Discover All You Need To Know!","https://www.amazon.in/Python-Data-Science-Discover-Need-ebook/dp/B09JQ3YQKN/ref=sr_1_12?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-12","1.0 out of 5 stars","1","https://www.amazon.in/Python-Data-Science-Discover-Need-ebook/dp/B09JQ3YQKN/ref=sr_1_12?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-12#customerReviews","","","by Magnus D'Jango | 27 November 2021"
"Instant IntroJs","https://www.amazon.in/Instant-IntroJs-Ehsan-Arasteh-ebook/dp/B00FFA09WO/ref=sr_1_13?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-13","","","","299","https://www.amazon.in/Instant-IntroJs-Ehsan-Arasteh/dp/1783282517/ref=sr_1_13?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-13","by Ehsan Arasteh and Afshin Mehrabani | 25 September 2013"
"MICROSOFT FORMS FOR BEGINNERS 2021: Creating Questionnaires, Surveys, Polls, and Quizzes with MS Forms","https://www.amazon.in/MICROSOFT-FORMS-BEGINNERS-2021-Questionnaires-ebook/dp/B099MZR78N/ref=sr_1_14?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-14","3.8 out of 5 stars","9","https://www.amazon.in/MICROSOFT-FORMS-BEGINNERS-2021-Questionnaires-ebook/dp/B099MZR78N/ref=sr_1_14?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-14#customerReviews","","","by RICHARD STEVE | 15 July 2021"
"Beginning Data Science with Python and Jupyter: Use powerful industry-standard tools within Jupyter and the Python ecosystem to unlock new, actionable insights from your data","https://www.amazon.in/Beginning-Science-Python-Jupyter-industry-standard-ebook/dp/B07DNJ9KKL/ref=sr_1_15?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-15","3.9 out of 5 stars","18","https://www.amazon.in/Beginning-Science-Python-Jupyter-industry-standard-ebook/dp/B07DNJ9KKL/ref=sr_1_15?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-15#customerReviews","954","https://www.amazon.in/Beginning-Science-Python-Jupyter-industry-standard/dp/1789532027/ref=sr_1_15?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-15","by Alex Galea | 5 June 2018"
"Beginning DevOps with Docker: Automate the deployment of your environment with the power of the Docker toolchain","https://www.amazon.in/Beginning-DevOps-Docker-deployment-environment-ebook/dp/B07DGQZ3Y7/ref=sr_1_16?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-16","3.8 out of 5 stars","7","https://www.amazon.in/Beginning-DevOps-Docker-deployment-environment-ebook/dp/B07DGQZ3Y7/ref=sr_1_16?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-16#customerReviews","1,019","https://www.amazon.in/Beginning-DevOps-Docker-deployment-environment/dp/178953240X/ref=sr_1_16?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821223&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-16","by Joseph Muli | 29 May 2018"
"Beginning Server-Side Application Development with Angular: Discover how to rapidly prototype SEO-friendly web applications with Angular Universal","https://www.amazon.in/Beginning-Server-Side-Application-Development-Angular-ebook/dp/B07D62XY8W/ref=sr_1_17?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821235&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-17","","","","954","https://www.amazon.in/Beginning-Server-Side-Application-Development-Angular/dp/1789342163/ref=sr_1_17?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821235&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-17","by Bram Borggreve | 30 April 2018"
"Joomla! Accessibility","https://www.amazon.in/Joomla-Accessibility-Joshue-Connor-ebook/dp/B005CG8IHY/ref=sr_1_18?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821235&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-18","","","","250","https://www.amazon.in/Joomla-Accessibility-Creating-Accessible-Websites/dp/8184044690/ref=sr_1_18?crid=3Q6UI7UT8HXDX&keywords=pocket+books&qid=1664821235&qu=eyJxc2MiOiI0LjQ0IiwicXNhIjoiNC4wMyIsInFzcCI6IjAuMDAifQ%3D%3D&s=books&sprefix=pocket+boo%2Cstripbooks%2C393&sr=1-18","by Joshue O Connor | 31 October 2007"
